,pred
183,2502.95
184,50982.73
185,4415.85
186,56256.83
187,8860.47
188,2742.42
189,6466.22
190,6159.77
191,3239.84
192,21470.72
193,5765.03
194,4312.1
195,13150.03
196,9010.04
197,50037.43
198,4834.85
199,8612.83
200,3121.57
201,5964.07
202,12859.13
203,46129.65
204,4437.25
205,7961.2
206,49391.13
207,5571.83
208,12063.54
209,56761.95
210,4668.73
211,53341.96
212,49995.37
213,4589.81
214,5266.45
215,3293.23
216,8925.62
217,64085.66
218,3806.86
219,3820.6
220,43030.14
221,56606.56
222,9392.05
223,41379.67
224,62519.54
225,10929.74
226,52884.97
227,2890.04
228,5817.65
229,64844.3
230,68322.1
231,44844.56
232,9501.99
233,8387.91
234,69147.48
235,26426.06
236,92441.58
237,52941.26
238,46919.27
239,3897.75
240,1795.24
241,60703.09
242,17083.56
243,5346.36
244,6039.72
245,8242.77
246,5583.16
247,2455.03
248,10595.71
249,2998.41
250,9640.53
251,4192.66
252,5319.55
253,3919.09
254,6462.46
255,11187.45
256,48932.7
257,6454.61
258,1487.17
259,65899.2
260,13220.53
261,57112.95
262,48388.6
263,5597.4
264,6057.53
265,71044.63
266,5922.61
267,61733.85
268,3789.35
269,7123.35
270,5749.2
271,5830.4
272,3160.81
273,18757.11
274,16160.77
275,60634.4
276,2465.25
277,6498.85
278,5961.49
279,7547.89
280,7626.42
281,77824.4
282,6504.23
283,5291.41
284,7682.77
285,5488.55
286,18609.06
287,14460.22
288,43484.63
289,6933.94
290,46383.59
291,7904.39
292,13608.87
293,9075.0
294,6336.18
295,46548.3
296,43440.3
297,11633.16
298,1955.28
299,4831.82
300,55750.9
301,7864.54
302,6919.98
303,54258.76
304,5716.14
305,47327.4
306,4498.84
307,12787.5
308,13293.18
309,5281.58
310,54256.81
311,6632.15
312,2866.08
313,2878.76
314,56641.78
315,5236.03
316,32982.52
317,56730.67
318,42141.19
319,4734.43
320,13176.25
321,7809.23
322,2418.41
323,53702.25
324,56253.2
325,7400.27
326,5759.12
327,5138.62
328,12311.7
329,7085.24
330,6050.88
331,9343.68
332,59736.52
333,44689.7
334,7237.14
335,19180.78
336,62484.78
337,6916.14
338,5173.75
339,13062.11
340,7134.02
341,4700.74
342,13887.88
343,68870.02
344,4880.58
345,2523.36
346,6766.06
347,5773.22
348,10722.62
349,12138.64
350,17407.23
351,32011.8
352,48937.87
353,7133.64
354,51149.14
355,6129.67
356,10053.28
357,3959.99
358,6626.46
359,44785.97
360,46110.54
361,4678.62
362,3661.82
363,12110.43
364,9137.68
365,8718.47
366,3594.79
367,4194.84
368,63144.94
369,6644.28
370,3728.14
371,3115.99
372,55573.95
373,2399.21
374,4918.9
375,7549.59
376,13003.94
377,2831.8
378,13268.41
379,7590.37
380,12157.7
381,44963.17
382,3855.53
383,7287.43
384,5468.5
385,58249.81
386,5081.04
387,4396.47
388,57206.21
389,12723.83
390,4768.05
391,7124.0
392,17243.63
393,6326.24
394,6143.08
395,8717.93
396,17356.36
397,2907.82
398,6852.42
399,4785.53
400,5614.05
401,8610.68
402,3121.72
403,2448.08
404,12424.0
405,46977.52
406,4225.61
407,56572.41
408,4162.71
409,4879.09
410,5304.27
411,12985.85
412,85892.26
413,3915.63
414,67826.51
415,5910.62
416,13449.38
417,51237.9
418,4472.28
419,10943.08
420,49749.33
421,2212.13
422,46995.79
423,4668.96
424,10445.04
425,6282.18
426,3389.09
427,1559.08
428,7579.92
429,24781.6
430,6062.45
431,13608.59
432,3690.23
433,5435.97
434,1933.86
435,4315.8
436,5584.6
437,52348.44
438,4695.89
439,7135.97
440,61246.33
441,32697.99
442,61957.6
443,61249.94
444,60000.21
445,5120.6
446,5631.43
447,4512.08
448,11223.31
449,5276.68
450,5920.86
451,4183.08
452,2469.73
453,3538.53
454,6355.46
455,58073.36
456,4237.2
457,58140.81
458,11806.26
459,43906.5
460,6837.89
461,3607.14
462,5860.51
463,44495.89
464,4898.17
465,12489.79
466,63093.96
467,12572.98
468,6114.64
469,10948.16
470,5416.36
471,53524.84
472,8515.12
473,6468.65
474,2997.25
475,2274.23
476,49807.62
477,4742.36
478,44526.7
479,5047.85
480,1965.61
481,34828.94
482,13274.71
483,5467.32
484,5480.71
485,4436.6
486,52062.52
487,49540.4
488,10241.88
489,4752.07
490,2347.75
491,6248.32
492,12584.11
493,5103.2
494,3215.03
495,6955.65
496,4625.21
497,13350.22
498,68010.28
499,8384.2
500,49669.47
501,46287.31
502,8409.49
503,65276.26
504,7160.88
505,55489.99
506,7759.7
507,7270.27
508,10561.25
509,4554.98
510,11526.21
511,53090.6
512,2378.93
513,6304.14
514,2543.55
515,52828.26
516,2228.25
517,5006.92
518,59846.39
519,26349.42
520,66564.03
521,64719.82
522,4922.34
523,69364.28
524,6730.79
525,49585.39
526,7992.53
527,4231.19
528,71595.46
529,34897.52
530,55946.26
531,5975.03
532,5417.18
533,11007.7
534,12115.73
535,3369.11
536,48269.41
537,39111.55
538,4656.81
539,5434.21
540,4392.38
541,13577.29
542,3354.81
543,5265.08
544,42340.33
545,25774.74
546,2459.91
547,51827.68
548,5119.83
549,5695.37
550,53486.07
551,6202.45
552,7601.44
553,54435.88
554,6020.65
555,3079.64
556,5581.72
557,2292.63
558,4432.74
559,5988.23
560,5854.37
561,2242.26
562,58268.07
563,4626.42
564,52603.01
565,4921.67
566,9518.4
567,12089.76
568,12831.53
569,50732.88
570,7983.69
571,5654.65
572,4420.18
573,54380.49
574,5471.5
575,6875.97
576,4684.93
577,44125.85
578,5342.84
579,13398.29
580,6489.41
581,45347.2
582,6126.14
583,5555.38
584,47566.94
585,44377.42
586,9257.83
587,3353.3
588,6984.2
589,54569.36
590,54427.09
591,7623.86
592,2402.01
593,55268.93
594,10998.31
595,10932.84
596,5444.48
597,63674.14
598,13081.13
599,6813.19
600,61747.24
601,3646.77
602,57215.92
603,5071.73
604,12080.29
605,71497.87
606,54521.24
607,28787.27
608,51293.24
609,5983.19
610,53748.62
611,64393.59
612,53387.73
613,58472.85
614,28582.96
615,4433.86
616,13429.59
617,44314.39
618,6217.03
619,8384.99
620,2798.36
621,51192.61
622,13765.18
623,4077.61
624,51441.24
625,10964.47
626,8122.07
627,48994.27
628,4471.96
629,7850.15
630,5574.76
631,53969.87
632,64463.55
633,4418.57
634,8189.44
635,7162.54
636,57148.84
637,59626.39
638,5243.15
639,4771.62
640,2584.77
641,5734.66
642,62373.09
643,10213.1
644,10117.98
645,46357.82
646,5830.94
647,5275.31
648,5855.91
649,49904.27
650,6450.68
651,53948.2
652,7555.2
653,5262.36
654,6588.39
655,2534.71
656,63137.5
657,10065.9
658,5638.49
659,12272.34
660,47760.73
661,3714.82
662,3017.9
663,8049.89
664,13854.89
665,5702.36
666,7845.11
667,7772.57
668,5126.46
669,6904.27
670,8481.82
671,15218.24
672,10878.86
673,10135.55
674,51107.44
675,48307.83
676,4870.38
677,11742.66
678,63735.08
679,3119.31
680,5850.85
681,45259.35
682,4923.87
683,11915.33
684,6591.73
685,4075.92
686,1830.73
687,9966.82
688,12378.02
689,5045.92
690,4772.47
691,37016.37
692,6659.45
693,6431.42
694,5155.2
695,28380.62
696,3768.26
697,5599.22
698,23775.34
699,49065.98
700,2626.08
701,48109.19
702,61689.24
703,49096.76
704,5568.76
705,4947.79
706,55233.8
707,14700.9
708,6868.02
709,50643.94
710,16339.85
711,12271.06
712,4531.74
713,8598.64
714,3946.56
715,4634.52
716,28572.68
717,42843.73
718,7643.45
719,39226.05
720,54679.51
721,5469.01
722,14209.68
723,6451.07
724,4877.69
725,4706.17
726,60392.62
727,2637.93
728,7111.09
729,50060.68
730,50739.08
731,7303.4
732,58584.75
733,2601.38
734,69954.57
735,3481.8
736,5789.36
737,9771.76
738,8746.47
739,13413.02
740,6221.01
741,5624.43
742,8169.61
743,5362.75
744,3467.53
745,60124.13
746,62933.26
747,18240.19
748,5099.29
749,6729.38
750,66984.02
751,11486.4
752,5148.28
753,5969.05
754,5098.85
755,11508.66
756,6755.43
757,16752.74
758,3837.24
759,59418.15
760,4392.01
761,3975.86
762,72931.47
763,6558.31
764,59932.9
765,4641.38
766,4873.43
767,4400.9
768,6848.08
769,4820.32
770,47846.91
771,68302.69
772,75686.61
773,3802.82
774,3479.59
775,5857.55
776,62930.83
777,3575.11
778,79574.82
779,62609.06
780,7687.63
781,2547.07
782,4881.27
783,52063.84
784,7781.34
785,52821.27
786,4491.48
787,5019.1
788,46426.32
789,26831.74
790,5626.44
791,8092.79
792,11423.02
793,61847.75
794,1778.53
795,13521.44
796,2090.34
797,9270.52
798,66353.25
799,6272.48
800,14665.73
801,6037.12
802,43292.78
803,5564.81
804,49576.89
805,57280.33
806,5056.84
807,17541.4
808,5195.8
809,5542.47
810,7069.12
811,3346.61
812,5011.15
813,5825.68
814,11875.69
815,59833.18
816,74980.22
817,8317.33
818,6420.97
819,63566.76
820,31694.78
821,6162.04
822,16588.09
823,52106.31
824,48535.98
825,5239.77
826,55539.48
827,4464.11
828,2609.85
829,6057.41
830,7027.13
831,2185.8
832,55704.48
833,11853.4
834,4369.61
835,3110.77
836,50045.75
837,2508.47
838,50542.59
839,47369.24
840,77818.27
841,53197.95
842,4629.71
843,8964.17
844,4157.97
845,10327.32
846,46003.84
847,51806.85
848,6313.86
849,12653.78
850,49046.2
851,12277.23
852,74096.76
853,49213.91
854,72070.73
855,56634.22
856,4398.43
857,5766.63
858,6991.78
859,5891.83
860,4757.63
861,2368.97
862,2288.58
863,5066.47
864,3063.01
865,2835.27
866,10577.7
867,2608.92
868,1609.43
869,32948.02
870,5724.65
871,49570.4
872,49462.13
873,5839.0
874,13271.87
875,1887.15
876,12070.92
877,2425.76
878,4632.7
879,5892.03
880,5596.26
881,1983.58
882,5299.89
883,3119.45
884,45229.05
885,5739.37
886,51905.98
887,4801.92
888,4713.39
889,9980.97
890,5607.74
891,51964.19
892,8514.08
893,17280.19
894,12115.96
895,11503.49
896,6053.62
897,7396.92
898,6938.46
899,52135.44
900,3872.46
901,24020.34
902,5341.29
903,3778.53
904,4818.06
905,13455.02
906,5539.92
907,12003.09
908,52068.45
909,7625.95
910,5270.8
911,3302.12
912,8863.73
913,1668.31
914,5290.11
915,29818.71
916,5284.95
917,3099.08
918,6021.04
919,9603.09
920,6063.79
921,7982.49
922,2794.38
923,5200.71
924,58048.87
925,5510.1
926,6984.64
927,5232.25
928,64705.0
929,14893.4
930,77946.29
931,45672.33
932,45773.58
933,5862.06
934,3539.71
935,60376.05
936,35688.63
937,4254.99
938,72937.98
939,5055.72
940,5815.08
941,3265.95
942,15832.45
943,63687.45
944,54787.12
945,4674.97
946,6126.43
947,61497.15
948,6369.86
949,47236.63
950,7093.89
951,6966.18
952,8262.17
953,2794.99
954,12325.93
955,11091.85
956,53284.58
957,6419.65
958,6538.27
959,50070.78
960,3901.59
961,2425.87
962,7650.31
963,6871.54
964,6050.56
965,8150.86
966,4114.97
967,6414.15
968,40994.88
969,5837.52
970,6503.263333333332
971,4891.95
972,1691.21
973,2577.47
974,3285.7
975,48786.88
976,3193.01
977,7905.46
978,30089.37
979,54971.66
980,4727.12
981,2428.16
982,57699.99
983,10621.46
984,46167.22
985,46484.76
986,48011.92
987,2369.3
988,2488.97
989,4037.37
990,56448.35
991,45682.4
992,6777.39
993,8260.29
994,5418.23
995,5286.93
996,14251.76
997,6261.97
998,5973.11
999,26295.8
1000,6280.14
1001,6674.11
1002,2695.7
1003,2832.04
1004,29761.47
1005,10244.36
1006,6240.14
1007,71218.22
1008,9111.35
1009,49451.72
1010,5516.01
1011,15205.7
1012,3245.25
1013,32098.9
1014,4920.06
1015,5075.63
1016,8790.33
1017,6100.13
1018,4497.19
1019,6117.6
1020,6417.46
1021,5449.4
1022,47731.64
1023,6780.16
1024,3650.96
1025,67585.64
1026,21630.08
1027,5219.67
1028,34327.43
1029,7620.63
1030,75306.22
1031,6408.06
1032,6561.98
1033,11053.16
1034,46392.25
1035,35431.61
1036,64020.06
1037,10456.17
1038,4592.91
1039,3070.66
1040,9411.11
1041,7943.77
1042,57812.78
1043,6298.76
1044,46247.61
1045,35815.22
1046,21532.24
1047,1850.83
1048,5836.35
1049,11814.43
1050,2780.67
1051,27146.62
1052,5675.57
1053,50928.64
1054,6201.71
1055,3295.54
1056,55326.6
1057,7065.06
1058,59551.81
1059,11891.11
1060,20839.72
1061,2783.14
1062,11276.05
1063,47205.62
1064,57183.64
1065,2493.56
1066,19241.33
1067,13566.64
1068,12088.41
1069,6387.26
1070,11028.73
1071,51043.23
1072,14185.59
1073,51273.15
1074,5388.89
1075,20825.06
1076,4820.92
1077,7842.09
1078,60993.63
1079,3767.99
1080,4142.13
1081,6451.97
1082,3237.94
1083,47578.28
1084,4018.41
1085,6127.83
1086,5782.08
1087,3479.08
1088,4979.46
1089,5045.39
1090,9619.7
1091,2497.58
1092,54780.23
1093,68867.39
1094,6899.29
1095,3245.89
1096,4977.13
1097,33504.7
1098,6272.76
1099,8142.96
1100,48966.45
1101,85389.31
1102,5793.87
1103,45465.34
1104,4671.57
1105,4118.87
1106,5272.33
1107,51107.06
1108,8373.23
1109,9107.89
1110,15410.65
1111,12203.56
1112,56631.6
1113,8034.71
1114,7527.56
1115,3783.25
1116,5794.44
1117,10879.22
1118,3359.31
1119,19464.14
1120,4947.26
1121,6219.56
1122,61319.75
1123,69388.36
1124,64303.72
1125,3010.27
1126,5107.98
1127,8969.11
1128,4557.26
1129,16917.87
1130,48079.3
1131,4719.23
1132,3785.84
1133,6460.4
1134,11413.22
1135,8310.43
1136,71716.89
1137,5286.12
1138,12346.83
1139,5084.57
1140,2978.15
1141,42198.01
1142,8701.78
1143,5269.96
1144,4399.34
1145,55097.0
1146,7797.97
1147,53422.69
1148,4109.66
1149,6739.71
1150,5452.41
1151,7933.43
1152,50452.68
1153,6062.38
1154,4689.83
1155,4107.79
1156,6214.21
1157,2228.77
1158,6759.43
1159,50992.99
1160,2389.79
1161,45784.61
1162,5939.3
1163,6041.3
1164,11080.48
1165,51471.31
1166,7603.58
1167,6909.13
1168,7477.41
1169,4208.78
1170,6101.7
1171,6450.86
1172,23410.34
1173,5858.55
1174,14729.62
1175,15122.67
1176,1704.8
1177,45628.04
1178,11361.49
1179,7307.69
1180,13576.95
1181,14783.11
1182,6587.62
1183,5210.61
1184,1627.17
1185,4719.48
1186,45259.5
1187,9173.38
1188,4534.32
1189,4015.63
1190,51972.4
1191,3603.59
1192,5304.63
1193,4162.71
1194,16395.97
1195,52985.21
1196,6139.64
1197,22170.39
1198,8832.42
1199,54761.13
1200,49721.82
1201,14077.37
1202,5539.09
1203,57413.72
1204,13994.97
1205,5583.09
1206,65742.62
1207,6614.81
1208,31091.56
1209,9525.46
1210,50650.35
1211,7263.25
1212,7349.23
1213,6047.79
1214,13636.89
1215,4094.16
1216,7015.33
1217,5131.49
1218,42202.53
1219,5621.93
1220,53740.78
1221,4661.77
1222,45134.38
1223,6705.13
1224,13518.98
1225,32655.46
1226,3782.06
1227,51912.95
1228,5659.72
1229,3316.07
1230,4726.49
1231,7191.9
1232,2995.67
1233,7269.67
1234,67025.85
1235,4483.95
1236,8721.35
1237,2353.36
1238,11743.8
1239,52751.29
1240,4939.61
1241,46977.49
1242,4174.47
1243,5325.6
1244,47237.62
1245,5341.11
1246,7831.98
1247,11526.32
1248,54382.74
1249,5756.94
1250,14209.48
1251,5425.5
1252,11691.18
1253,61721.56
1254,6320.15
1255,6307.79
1256,6141.12
1257,48675.32
1258,5882.09
1259,25273.52
1260,22014.55
1261,5609.19
1262,8375.95
1263,5206.45
1264,3340.25
1265,33447.62
1266,52828.64
1267,63301.32
1268,4120.4
1269,14443.27
1270,5949.47
1271,65201.65
1272,18362.22
1273,5003.47
1274,5762.14
1275,64027.52
1276,49633.06
1277,11230.6
1278,24458.08
1279,63633.1
1280,78114.27
1281,8665.2
1282,5838.26
1283,9773.34
1284,66440.39
1285,52325.33
1286,22566.32
1287,75657.0
1288,7048.32
1289,12897.62
1290,54657.48
1291,3046.4
1292,2300.64
1293,6405.67
1294,3904.48
1295,43949.37
1296,57642.64
1297,4273.61
1298,7187.51
1299,46118.91
1300,7079.44
1301,4721.61
1302,6103.86
1303,24794.44
1304,2374.86
1305,50524.15
1306,5452.81
1307,2466.38
1308,7025.89
1309,5181.95
1310,10165.15
1311,6031.68
1312,2444.54
1313,50727.71
1314,74976.98
1315,43535.07
1316,56966.74
1317,4647.7
1318,44859.79
1319,13438.73
1320,8042.27
1321,67325.3
1322,6565.25
1323,46653.53
1324,9639.97
1325,6167.31
1326,4393.88
1327,58354.14
1328,11260.0
1329,17465.23
1330,4602.84
1331,5036.52
1332,4152.53
1333,66349.06
1334,4720.46
1335,2443.71
1336,56960.57
1337,46071.84
1338,5630.95
1339,47458.37
1340,4764.55
1341,43187.26
1342,4738.31
1343,46904.95
1344,46614.31
1345,10259.91
1346,5689.14
1347,5920.74
1348,6030.99
1349,45365.51
1350,54024.31
1351,5788.8
1352,49425.98
1353,46190.54
1354,28166.47
1355,46372.99
1356,8081.04
1357,67321.24
1358,47890.73
1359,6353.25
1360,52538.8
1361,49612.97
1362,5213.09
1363,6317.66
1364,3005.21
1365,15622.31
1366,5501.92
1367,12981.04
1368,7231.77
1369,51933.67
1370,54621.62
1371,9493.8
1372,23583.92
1373,4937.27
1374,6111.29
1375,69468.02
1376,66145.32
1377,67654.29
1378,7215.07
1379,53446.35
1380,4425.13
1381,55866.43
1382,53370.38
1383,4127.99
1384,11784.48
1385,61249.59
1386,3429.71
1387,5217.65
1388,5061.99
1389,58700.04
1390,4745.22
1391,4366.5
1392,5148.74
1393,3660.35
1394,69726.52
1395,5441.86
1396,50689.66
1397,45194.73
1398,7162.52
1399,10721.4
1400,5442.79
1401,6323.77
1402,31628.53
1403,47231.2
1404,57506.87
1405,5100.22
1406,6212.1
1407,6298.99
1408,24199.66
1409,49525.24
1410,4745.2
1411,6018.26
1412,48328.77
1413,6387.4
1414,53883.44
1415,15749.15
1416,1444.02
1417,45737.26
1418,4997.42
1419,12484.11
1420,59160.45
1421,53990.43
1422,56443.69
1423,4151.3
1424,72469.6
1425,13341.84
1426,10084.8
1427,46775.05
1428,5877.4
1429,9147.06
1430,2728.31
1431,60422.95
1432,6861.71
1433,63283.43
1434,52901.49
1435,6036.77
1436,14825.18
1437,4804.47
1438,70751.86
1439,55435.55
1440,47874.38
1441,5554.43
1442,56787.28
1443,4926.81
1444,5855.83
1445,5778.28
1446,6725.88
1447,2498.78
1448,6176.28
1449,5085.48
1450,9126.63
1451,13159.79
1452,4578.46
1453,20386.09
1454,14810.73
1455,8773.15
1456,6537.09
1457,1795.75
1458,5871.79
1459,71248.03
1460,10787.69
1461,6407.99
1462,4364.95
1463,4229.65
1464,15915.16
1465,5028.25
1466,4477.57
1467,54453.98
1468,6554.95
1469,47826.9
1470,5003.03
1471,2180.92
1472,4634.17
1473,47791.52
1474,3215.51
1475,33510.9
1476,13112.97
1477,4681.46
1478,9938.52
1479,11919.44
1480,12306.23
1481,6967.05
1482,5796.06
1483,4342.02
1484,3467.81
1485,6647.95
1486,5027.81
1487,56198.62
1488,10732.14
1489,35557.9
1490,43470.98
1491,5115.18
1492,49061.35
1493,5721.42
1494,5209.26
1495,55275.35
1496,7882.23
1497,44915.7
1498,47260.37
1499,8843.28
1500,11298.31
1501,7304.03
1502,8035.82
1503,47629.62
1504,4953.95
1505,7421.38
1506,62082.62
1507,4137.19
1508,11208.58
1509,65812.28
1510,3944.26
1511,4691.73
1512,11001.35
1513,3942.05
1514,2878.6
1515,63085.77
1516,12128.57
1517,3325.78
1518,4230.31
1519,4746.36
1520,51832.2
1521,3545.72
1522,4911.56
1523,51321.35
1524,53955.29
1525,9643.47
1526,42661.75
1527,4128.1
1528,5437.12
1529,75904.52
1530,4428.07
1531,4486.95
1532,56273.34
1533,50742.56
1534,5965.23
1535,4796.99
1536,49857.64
1537,5561.51
1538,6761.26
1539,11664.24
1540,46789.0
1541,5286.39
1542,12902.23
1543,7637.42
1544,3882.9
1545,4934.55
1546,50267.02
1547,21221.7
1548,14160.87
1549,7153.21
1550,44505.89
1551,5356.19
1552,5622.86
1553,69916.5
1554,45021.92
1555,3784.84
1556,4911.52
1557,13363.49
1558,50476.04
1559,5486.1
1560,4854.58
1561,6938.12
1562,10964.03
1563,7123.84
1564,3490.89
1565,2103.93
1566,4822.48
1567,3037.37
1568,10212.19
1569,15403.07
1570,61102.02
1571,4893.03
1572,8847.57
1573,8118.72
1574,8233.43
1575,7554.3
1576,6226.23
1577,44141.34
1578,46278.79
1579,1612.38
1580,6860.87
1581,4737.39
1582,68829.24
1583,43050.24
1584,12655.65
1585,3870.11
1586,3662.8
1587,6170.19
1588,10557.79
1589,50675.73
1590,13401.67
1591,43156.17
1592,3695.46
1593,49256.68
1594,6153.81
1595,77207.35
1596,8884.64
1597,52459.1
1598,3270.64
1599,5853.69
1600,6753.6
1601,57850.05
1602,11195.3
1603,3180.13
1604,57199.52
1605,2743.56
1606,7438.45
1607,5845.29
1608,5220.74
1609,61556.79
1610,5518.25
1611,4975.88
1612,5722.3
1613,10336.81
1614,9084.2
1615,72824.99
1616,6471.86
1617,42973.82
1618,2371.73
1619,62780.21
1620,6017.78
1621,4919.7
1622,50199.84
1623,7880.44
1624,46294.29
1625,12569.7
1626,4353.7
1627,6366.39
1628,9400.29
1629,2562.08
1630,55724.06
1631,14292.25
1632,4752.2
1633,5964.62
1634,7176.12
1635,4973.23
1636,7192.88
1637,50342.73
1638,11060.57
1639,48530.75
1640,4297.84
1641,10343.19
1642,5814.66
1643,6288.62
1644,11380.73
1645,35140.44
1646,4379.44
1647,6142.42
1648,2094.5
1649,12284.41
1650,4353.17
1651,6551.94
1652,5089.62
1653,60139.41
1654,4805.08
1655,5673.93
1656,5112.73
1657,6339.1
1658,5881.95
1659,2662.91
1660,5963.8
1661,57480.45
1662,6704.85
1663,5842.84
1664,4442.7
1665,53343.89
1666,56455.2
1667,52335.92
1668,8731.52
1669,6589.48
1670,4990.24
1671,65588.14
1672,55013.32
1673,4934.8
1674,6454.51
1675,6703.18
1676,62646.48
1677,51507.64
1678,2791.56
1679,7973.3
1680,57989.26
1681,4508.76
1682,61048.87
1683,8127.15
1684,53868.75
1685,13607.33
1686,54241.2
1687,2677.15
1688,66362.04
1689,56574.04
1690,9563.65
1691,48535.52
1692,51552.88
1693,2634.93
1694,5192.41
1695,51941.46
1696,64470.66
1697,6755.78
1698,2816.2
1699,4826.35
1700,6345.71
1701,39071.14
1702,10335.36
1703,4541.48
1704,2700.29
1705,46556.97
1706,4454.83
1707,3256.74
1708,3734.95
1709,6601.19
1710,48199.83
1711,6058.05
1712,57673.88
1713,6314.43
1714,5959.27
1715,6099.76
1716,16199.44
1717,4171.3
1718,9722.42
1719,5129.34
1720,51928.55
1721,2884.05
1722,3297.93
1723,5960.24
1724,6796.91
1725,49609.83
1726,24482.66
1727,2965.21
1728,3174.81
1729,6960.24
1730,5756.09
1731,2127.58
1732,5339.37
1733,10733.55
1734,12665.86
1735,1946.97
1736,61789.5
1737,6000.74
1738,56702.82
1739,5160.32
1740,43206.05
1741,31955.14
1742,57327.37
1743,5009.62
1744,7987.82
1745,59510.73
1746,4506.68
1747,6943.95
1748,5113.43
1749,4649.43
1750,48237.44
1751,4426.04
1752,6223.44
1753,45283.91
1754,5985.79
1755,6863.4
1756,60613.89
1757,59377.3
1758,4844.11
1759,10515.73
1760,46126.36
1761,16131.93
1762,5859.82
1763,5591.38
1764,1898.89
1765,3673.82
1766,2269.32
1767,2404.2
1768,5681.54
1769,6665.26
1770,4572.43
1771,5430.72
1772,9515.23
1773,47743.56
1774,46929.34
1775,52070.94
1776,58676.14
1777,6997.41
1778,6099.84
1779,3869.96
1780,5971.78
1781,58579.98
1782,4229.83
1783,6634.31
1784,3210.15
1785,4748.45
1786,3617.25
1787,48355.92
1788,2686.24
1789,11958.61
1790,66028.77
1791,5623.78
1792,4727.91
1793,31804.18
1794,11906.09
1795,4057.61
1796,4276.0
1797,9925.2
1798,4667.86
1799,32814.05
1800,53167.08
1801,4514.34
1802,3439.09
1803,7038.02
1804,53273.29
1805,5660.84
1806,56052.67
1807,5613.71
1808,46113.75
1809,69844.4
1810,53015.79
1811,7927.26
1812,60092.85
1813,59562.11
1814,58911.47
1815,6304.99
1816,1578.72
1817,3616.62
1818,5555.52
1819,65178.16
1820,7819.83
1821,3724.85
1822,6380.43
1823,5298.05
1824,26444.32
1825,55494.74
1826,71740.21
1827,5892.39
1828,46750.24
1829,6955.26
1830,2610.41
1831,6938.63
1832,7471.66
1833,58235.41
1834,10922.06
1835,16288.84
1836,2193.79
1837,5560.86
1838,21603.92
1839,10808.93
1840,54980.02
1841,4519.09
1842,4890.74
1843,3604.79
1844,9856.91
1845,6995.13
1846,13167.37
1847,47166.05
1848,7277.34
1849,60460.26
1850,56824.97
1851,5461.18
1852,6536.8
1853,50673.57
1854,4853.32
1855,5357.42
1856,5079.73
1857,3204.4
1858,5555.85
1859,5111.04
1860,57164.16
1861,6834.44
1862,57831.13
1863,5194.45
1864,55424.37
1865,4952.56
1866,6681.89
1867,46413.88
1868,4606.76
1869,56400.82
1870,7594.58
1871,46655.61
1872,47054.03
